x,y
2.2997,0.17655
0.04713,0.10679
2.9256,1.6351
3.1281,0.80716
2.7774,3.8761
3.2823,2.3879
2.8416,0.88393
0.9041,-1.2369
2.2536,1.2316
1.493,-0.0046155
2.6525,0.020681
0.21235,0.86288
3.4484,0.53499
2.2372,0.26133
2.4393,1.9241
3.0394,1.5945
0.83339,0.86229
1.5475,1.6148
3.3006,1.7212
1.4958,0.56942
2.5875,1.3615
2.3339,0.56971
1.5154,-0.43601
2.2618,2.0297
-0.071477,-0.65838
1.2427,0.47817
3.0689,1.5986
2.705,0.69321
3.3394,2.4668
1.43,1.6462
1.9552,0.094479
1.558,0.5448
1.7482,-0.51873
3.4774,3.109
2.1412,2.2377
1.3786,0.93951
2.1201,0.26333
-0.48349,-0.66561
1.822,2.0958
1.7771,0.86874
3.0641,1.7268
0.94662,-0.15808
1.042,0.8394
2.6351,2.8052
3.751,3.176
1.1899,1.4151
0.051739,-0.53191
1.4948,1.4714
2.9764,1.7944
1.7158,0.57456
2.8969,2.248
0.47471,1.1141
3.8255,1.1568
1.2943,2.455
2.8428,2.9024
2.4158,0.094312
1.7584,-0.51085
3.1439,1.2184
1.8813,-0.82839
1.6294,0.77974
2.8052,1.4658
1.643,0.50706
2.7403,0.21105
1.7158,2.1015
4.1386,2.1849
0.68298,2.9337
2.5715,0.69221
2.231,0.85208
2.0495,-0.72021
2.8688,-0.25135
1.898,2.8085
1.8593,0.99911
1.2262,0.97991
0.54732,-0.65309
2.2807,1.1059
1.491,0.22894
1.2294,0.93921
0.36057,0.063988
3.0941,2.6765
1.5293,0.35815
0.88647,1.5203
1.8057,1.0174
3.2868,2.3869
2.2148,1.232
1.9052,1.0825
0.49495,0.51667
1.8418,1.6676
2.4223,1.6532
1.1219,1.3198
2.6532,0.81412
2.8409,1.3841
3.3972,1.7688
0.76118,0.15577
0.84884,0.28232
1.7166,-0.16903
1.8014,1.3182
1.7478,-0.27084
2.9483,1.3307
3.6725,1.8258
2.5101,1.5066
