x,y
0.01,1.0145
0.03519,1.0203
0.06038,1.1508
0.08557,1.1833
0.11076,1.1797
0.13595,1.0025
0.16114,1.488
0.18633,1.109
0.21152,1.2097
0.23671,1.6791
0.2619,1.2478
0.28709,1.5846
0.31228,1.0756
0.33747,1.2034
0.36266,1.5234
0.38785,1.8038
0.41304,1.5205
0.43823,0.80023
0.46342,2.5618
0.48861,1.7227
0.5138,1.8184
0.53899,2.01
0.56418,1.4322
0.58937,1.5521
0.61456,2.7465
0.63975,2.1028
0.66494,2.9085
0.69013,1.823
0.71532,0.36834
0.74051,3.3055
0.7657,1.5124
0.79089,2.7771
0.81608,3.0384
0.84127,2.5045
0.86646,3.5105
0.89165,5.5876
0.91684,1.1824
0.94203,1.6032
0.96722,3.7718
0.99241,3.4133
1.0176,1.6288
1.0428,2.1964
1.068,4.2646
1.0932,2.5022
1.1184,5.0498
1.1435,3.2988
1.1687,5.5313
1.1939,2.4653
1.2191,3.9357
1.2443,4.5982
1.2695,2.194
1.2947,2.8742
1.3199,2.7341
1.3451,3.978
1.3703,3.1626
1.3954,2.9098
1.4206,3.623
1.4458,6.6247
1.471,3.8404
1.4962,4.6131
1.5214,5.8606
1.5466,6.024
1.5718,4.2647
1.597,6.229
1.6222,6.4053
1.6473,7.7521
1.6725,5.364
1.6977,6.9614
1.7229,4.2786
1.7481,6.6095
1.7733,5.6972
1.7985,8.1465
1.8237,5.9644
1.8489,7.6802
1.8741,6.6067
1.8992,7.2434
1.9244,9.62
1.9496,12.134
1.9748,10.005
2,4.7739
