x,y
-0.22038,0.024317
-0.97966,0.050228
-0.91848,0.72057
-1.8392,0.74379
-4.9727,1
1.7842,0.79987
-0.50781,0.023427
-0.50769,0.0058746
-0.36138,0.52692
1.03,0.037601
-2.9032,0.99635
-1.3644,0.074557
-0.062147,0.070737
2.4727,0.93399
-0.36095,0.19651
-0.91856,0.67881
-0.30269,0.19381
-2.3658,0.79849
0.51664,0.028221
1.0633,0.38185
2.8506,0.95761
-0.58504,0.30666
-2.7815,0.98111
3.0677,0.92627
-1.5735,0.648
-5.623,1
0.521,0.10719
0.12183,0.012164
-2.1151,0.92284
-1.0494,0.53867
-2.6842,0.96615
0.39333,0.036804
-1.6591,0.97228
-0.54128,0.16556
-0.20951,0.49891
-2.3696,0.92664
2.8171,0.83844
1.7545,0.061739
0.7919,0.045693
0.16113,0.0084589
-3.6165,0.99778
-1.8718,0.32205
-1.3642,0.027768
1.991,0.61917
-2.0591,0.16068
1.5691,0.972
-4.0897,0.99994
7.8706,1
-0.41109,0.11468
4.6424,0.99999
-2.3696,0.91022
-0.55077,0.017208
-1.6483,0.92405
-4.11,0.99989
1.2502,0.1977
-0.051487,0.16653
-0.00031705,0.022594
-3.1437,0.97098
-1.3564,0.5967
-1.8275,0.94937
-2.0558,0.49339
-2.1636,0.9841
-3.0872,0.95078
-1.4494,0.45502
0.84515,0.065295
-1.2475,0.31478
2.6997,0.88657
3.7587,0.99992
-2.0426,0.9927
3.1946,0.68183
1.4041,0.06859
3.7507,0.99868
-2.5802,0.96286
2.1863,0.68537
-6.1141,1
1.286,0.2351
1.3507,0.075968
-0.73598,0.05808
-1.5954,0.12898
1.0144,0.028104
-1.9947,0.95495
-3.7607,0.99906
-3.3291,0.9986
-0.073555,0.29806
1.6677,0.25149
-2.1857,0.47438
2.1665,0.57026
3.6113,0.99511
-2.7716,0.76389
-0.87695,0.85908
-2.1074,0.91297
-2.2574,0.91272
-3.0698,0.97811
-2.9215,0.86701
2.1698,0.93351
3.9314,0.99909
0.12141,0.29368
-0.40677,0.005309
1.3479,0.27734
-1.1899,0.5156
-0.58138,0.40382
-0.76855,0.23529
-4.3168,0.99998
-1.0428,0.13367
-1.857,0.96355
-0.78203,0.039779
-1.6137,0.67434
2.4582,0.81715
-6.3737,1
1.7066,0.54984
1.9302,0.85262
-1.4854,0.54798
-1.6045,0.73004
-1.6313,0.25516
-2.399,0.86009
0.35326,0.14983
1.8248,0.49082
1.7499,0.25077
3.6453,0.99194
2.0181,0.9569
-3.5179,0.99658
-1.9343,0.96532
-0.67984,0.26982
3.4679,0.97865
0.94569,0.96079
-0.24596,0.44126
-3.5213,0.99256
0.019603,0.027805
-0.47526,0.089769
2.2474,0.95719
2.1593,0.39373
2.87,0.98179
-0.40047,0.077086
-3.3294,0.99914
0.51488,0.70279
-2.422,0.73858
1.1992,0.030695
-1.5369,0.39555
-0.43051,0.20046
-1.7861,0.2926
-1.3905,0.29949
-1.3907,0.045888
2.2593,0.49338
3.471,0.96264
-4.7257,0.99999
-0.82981,0.098164
-1.1458,0.86392
-3.2346,0.99864
-0.61776,0.0032372
-4.8122,1
3.0036,0.96464
-1.1204,0.9466
-5.6242,1
0.8821,0.43485
4.1073,0.99965
1.8079,0.34471
1.2753,0.1414
-0.46708,0.20442
1.0772,0.12631
-4.7432,1
-4.5032,1
-0.28946,0.46996
-0.059068,0.25454
0.25357,0.17963
0.72249,0.66482
-0.98393,0.03234
-0.31583,0.46099
2.18,0.45904
-2.0382,0.7415
1.9383,0.94643
1.326,0.17089
-2.1576,0.49137
3.6397,0.99842
2.551,0.97048
-4.4785,0.99994
-2.5868,0.98622
-1.6557,0.1305
1.3623,0.14424
-0.44001,0.13186
0.014174,0.042182
-0.018892,0.19408
-3.1453,0.99968
-1.6586,0.97959
-0.73171,0.014769
-0.5042,0.026161
-2.1473,0.84264
0.023306,0.90549
4.059,0.99936
-1.7289,0.91128
-1.7931,0.98101
-1.0669,0.24069
-2.5926,0.92699
1.6707,0.57982
-1.1057,0.39057
4.8479,1
-0.23901,0.29079
0.12451,0.058343
-0.63649,0.92915
1.1955,0.61241
-2.1084,0.76878
