x,y
-0.588,5.0917
-1.9135,1.8278
0.66758,1.9826
1.7042,3.6568
-0.87434,4.6558
0.2328,6.3225
-0.5319,2.737
-1.026,2.9523
1.4445,0.98074
-1.97,-2.8185
1.8498,1.8219
2.1932,-1.3796
-2.0417,-0.058889
1.9237,-1.5767
-1.7738,0.56767
-1.0549,-0.57554
0.055594,4.0183
2.4002,-2.0313
0.82997,1.3171
-0.49173,3.2339
-2.1823,0.70976
0.60031,2.9353
0.60902,4.9965
0.0017836,5.8232
-1.7624,0.25127
-1.0955,-1.3766
0.94758,-0.61956
-2.2694,2.2167
-2.0837,2.8292
-0.72086,2.7997
-2.4052,-1.804
0.49882,1.8449
2.3592,0.55119
-0.0024259,5.8404
2.3397,-1.2162
-2.344,1.1905
-2.3596,-0.44196
0.53369,-0.18726
1.7089,2.8383
1.1998,0.70131
-1.997,3.3949
-2.2663,0.29096
-0.9333,4.5621
-2.2571,-3.4942
-1.3438,1.5318
0.43834,0.95206
1.3188,-0.6958
-2.3977,-0.48165
-0.31407,1.7887
-1.089,3.0096
2.0188,-0.54758
2.4918,-3.0913
-2.3802,2.7696
2.0307,-4.5719
1.4984,2.318
0.71478,0.39695
1.5922,-0.90807
1.8089,-0.0075729
-0.83929,-0.32286
-0.17933,2.6792
-1.9806,-0.12484
0.89762,3.6205
-1.8567,-1.7526
0.95436,1.0538
1.1605,1.5913
-2.4122,2.6531
-1.3619,1.4778
-0.60618,1.2869
2.0037,1.915
-1.4762,1.8304
0.61745,0.40806
1.2104,-1.7948
-1.3179,-1.2659
0.073097,0.33173
-1.0071,3.171
-0.70356,-0.14369
-2.1818,-2.4269
0.86635,3.8267
-2.3384,-0.75647
-1.0583,3.2665
-1.1066,5.45
-2.0433,-0.51422
-1.3277,0.74489
-1.2839,3.3087
-0.049245,2.7099
-0.67137,2.3324
1.3157,-0.043306
2.3889,0.40845
1.221,2.3947
0.95088,3.4372
-2.482,-3.2958
1.6486,1.3363
0.25344,0.90822
0.55627,3.5143
-0.52829,2.7809
0.87267,1.9464
-1.2866,-2.6947
1.6388,-2.0247
-1.5597,0.72201
0.56022,1.5268
-2.3345,0.89204
-1.9307,-1.6031
-1.9918,-1.7567
-1.3623,1.6184
-1.9803,-0.80563
-0.0067876,4.959
-2.3235,-1.1944
2.1132,-0.47919
1.5859,0.17958
-1.0069,-0.83004
-0.76258,4.2358
-2.0931,-0.49301
-0.013561,0.48835
-2.4236,-4.1787
0.58507,-0.89727
0.012731,6.991
0.51476,1.1352
0.021531,5.6357
0.47194,3.6503
-1.1895,1.4388
-0.53331,-1.5225
-2.2723,-2.3011
0.77227,-1.036
-2.0586,2.5458
-0.079024,2.9882
-0.38459,0.22557
0.44846,6.6585
0.16613,4.8779
0.039445,4.1135
1.2122,-0.92318
0.029326,0.63322
1.8307,-0.60686
-1.6731,-2.0249
1.6051,2.795
0.75624,-0.96493
-1.2862,2.7953
0.047307,3.0274
-1.4883,-0.46331
1.6928,3.5967
-0.17827,5.6891
1.815,1.0907
-1.4918,2.4907
1.0519,-1.3072
0.50538,1.7322
0.85753,3.2017
-1.1732,2.6112
-0.79976,5.335
0.96952,0.25168
-0.22784,1.0644
1.5884,0.054065
-0.50401,4.7617
-0.14703,3.1477
-2.225,0.11785
1.7771,2.6617
0.59387,5.1065
2.3412,-0.33606
0.03675,4.3946
2.2073,-4.6893
0.43397,4.7797
0.20936,5.3075
-2.2799,3.2866
1.8361,3.4028
-1.1424,1.0118
0.36032,4.338
2.3802,1.1852
2.0319,0.24727
1.1328,-1.533
-0.40678,4.391
-1.1181,-0.18293
-0.19296,-1.0178
2.4583,-3.1157
-2.0148,-0.99714
-1.8722,2.3862
-1.3202,-2.8842
-2.3454,-3.6848
1.3724,1.3694
-1.4467,0.50369
2.3095,-1.6238
0.76044,1.4384
-0.44617,3.837
0.13343,2.017
-2.2492,0.7033
-0.045113,4.3147
0.64169,1.4207
-0.9981,3.7193
1.7292,-2.6874
-2.343,-0.86186
-0.43893,4.343
1.0691,-0.2478
-1.0697,4.8356
-1.6982,1.6337
-0.64146,-0.57504
-1.4875,1.9852
-0.77892,0.367
2.1356,-2.9246
-0.96042,4.904
-1.5074,-0.0969
-0.87847,-0.38013
-2.4092,-3.214
1.8048,1.1956
-2.1297,-2.6976
-2.1616,1.1906
-1.854,2.8502
-1.7861,-3.5159
1.1458,-1.4737
0.54006,0.49316
-2.1674,-2.1017
-0.09232,0.79996
0.20416,3.052
2.4556,-3.2162
-1.1635,5.1035
-2.3551,-0.45957
0.16296,7.0995
0.36223,2.7716
0.28621,2.9317
1.8147,0.62183
0.036435,6.133
1.9658,-1.3569
-1.0355,-0.4969
0.76147,-0.71444
-1.3421,-0.72421
-0.30693,0.24435
-1.8686,-3.3762
2.3933,-0.69485
0.62534,3.88
-1.1514,-1.2692
2.0568,-3.1372
-1.4474,0.072053
-0.68425,2.7983
2.048,-1.6458
-1.6045,0.80764
-1.7007,-3.7862
-0.61106,4.7981
-0.60232,3.799
2.2931,1.0119
-1.8259,-1.8847
2.2041,0.64869
0.47492,4.1431
-2.2611,-0.89568
-0.56335,0.91361
1.4317,4.0272
-1.31,-0.89486
1.6377,-2.1022
0.62612,2.4183
-2.0515,2.3371
-0.93869,1.4601
-0.82198,5.3013
0.31245,7.0388
-0.67369,2.5521
1.6646,-2.2103
1.1663,3.1925
1.8759,-3.0244
2.0592,0.50458
0.055792,5.4328
-0.244,3.2664
-0.2015,0.064896
-1.1329,3.1742
-0.080171,-0.47301
0.42737,5.4965
1.1299,0.072205
0.77557,-2.1674
-2.0322,-1.9151
-2.3678,-4.0635
1.0276,-0.76423
-0.27256,4.9642
1.125,-1.4457
-0.28284,3.2635
1.5514,-1.6494
0.027342,2.3666
-1.9048,2.3011
0.92562,3.9772
0.18522,6.7328
0.35462,1.9651
-0.3742,3.0113
2.3525,-1.6342
-1.8502,1.6989
