x,y
2.3239,0.44029
1.7378,1.7803
1.5082,0.4619
2.2088,-0.4981
1.6975,1.6978
-0.72102,0.3713
1.2599,1.045
2.3529,1.1924
1.4318,-0.28441
1.9477,0.86247
4.6719,1.1524
2.1906,0.90656
3.3168,1.201
1.9336,1.2583
0.27582,-1.2309
2.8644,1.6739
3.2828,1.0798
2.6565,0.046601
-0.093186,2.387
3.3598,0.38182
2.0592,2.1741
0.91896,1.6222
1.9568,2.6478
2.3687,1.5959
0.49609,1.5138
2.1808,0.18071
2.4283,1.6186
2.3978,0.66782
0.6141,1.7552
1.0695,-0.28942
0.72417,1.3059
4.6235,0.49749
-0.46621,0.41948
3.5216,0.34192
1.9775,1.0016
1.9604,1.8023
1.2381,3.1913
-0.16361,0.34662
2.4164,1.0446
1.3426,2.8258
0.19242,-0.4703
0.4923,0.46042
1.0445,0.78471
1.9121,0.028505
3.8785,2.245
1.764,1.209
3.3722,2.2707
0.62066,0.93711
2.3434,-0.47508
1.2156,0.69356
1.9336,1.4937
4.2472,1.2355
1.5655,0.66013
2.2494,0.60698
0.61989,0.40432
3.8122,0.85312
4.5304,1.8976
0.95713,1.3814
3.2261,1.2559
3.2501,1.2128
4.4927,1.1147
2.74,-1.2245
2.1171,0.48236
-0.23463,1.7401
0.41595,1.3905
0.90584,2.0798
2.9146,0.44696
1.0154,-0.44598
4.2137,1.1827
1.0627,0.081116
1.164,0.8944
0.83532,2.2824
2.0196,1.9713
0.85851,0.57878
1.1572,-0.32358
2.169,1.3151
1.4819,0.50921
3.325,2.5354
1.5204,1.3003
2.4116,0.97437
-1.8104,2.7309
2.6193,0.16079
4.5094,0.7363
-1.5213,0.14225
0.96719,1.5412
3.9719,0.89951
-0.48882,0.24411
2.0128,1.4854
0.030351,0.45489
1.2836,1.4282
3.0954,1.4289
2.952,1.6216
1.5156,-1.4688
2.8362,1.1257
2.0698,1.1063
2.0287,0.85539
2.9487,1.9093
3.6219,2.5966
0.64322,-0.081
2.0509,1.6865
3.7258,7.8444
4.422,8.0002
4.2719,7.928
3.3136,7.9958
4.2067,8.5031
3.9912,7.6363
3.8071,7.839
4.0729,7.6466
3.8041,8.0703
4.174,8.2497
